007e.952c.0e15	100GE7/0/0     
d0ef.c171.995c	Gi6/0/4        
f07f.060d.06c0	100GE7/0/0     
0021.9431.ef85	Gi6/0/4        
00a0.0a10.b0a1	100GE7/0/0     
00a0.0a10.adc3	100GE7/0/0     
c4b8.b46e.1fa9	100GE7/0/0     
a44c.11c0.d32a	100GE7/0/0     
0800.3e0e.047f	100GE7/0/0     
7c0e.ce36.8160	100GE7/0/0     
a03d.6f93.ec20	100GE7/0/0     
00f8.2c0e.8365	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
f898.efe7.5694	100GE7/0/0     
1051.722e.92a1	100GE7/0/0     
2c97.b16e.7910	100GE7/0/0     
f02f.a7c3.0894	100GE7/0/0     
70c7.f219.2462	100GE7/0/0     
0081.c4ed.fff8	100GE7/0/0     
b07d.47e6.b195	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
d0ef.c1a8.11b4	100GE7/0/0     
40ee.dda1.6da6	100GE7/0/0     
286e.d480.64f2	Gi6/0/4        
70ca.9b57.c5ee	100GE7/0/0     
e097.96b3.2236	100GE7/0/0     
2c97.b16e.82dc	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
d0ef.c15d.2ee3	Gi6/0/4        
70ca.9bbe.c5f5	100GE7/0/0     
28c7.ceac.8bb5	100GE7/0/0     
ec4d.4773.93dc	100GE7/0/0     
501d.93f8.8c27	100GE7/0/0     
2065.8ef1.4d0e	Gi6/0/4        
d4e8.80d4.4440	100GE7/0/0     
007e.952c.00a5	Gi6/0/4        
a03d.6f94.1780	100GE7/0/0     
e097.96b3.2231	100GE7/0/0     
d0ef.c1ac.4c5f	Gi6/0/4        
0800.3eac.6650	Gi6/0/4        
501d.93f8.8c25	100GE7/0/0     
487b.6bf6.03ac	100GE7/0/0     
0018.1846.c013	100GE7/0/0     
501d.93f8.8c22	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
c8a7.76c3.f8b1	Gi6/0/4        
2841.c6ab.3d6a	Gi6/0/4        
883f.d3a0.a8d1	Gi6/0/4        
d4e8.80d4.5640	100GE7/0/0     
28c7.ceac.eca5	Gi6/0/4        
0021.941b.2e2a	Gi6/0/4        
2c54.2d28.ea80	100GE7/0/0     
50f7.222e.7d45	Gi6/0/4        
249e.abb8.a3ef	100GE7/0/0     
dcd2.fc64.31cd	Gi6/0/4        
5489.9818.bdb2	100GE7/0/0     
7c0e.ce36.f000	100GE7/0/0     
5078.b3b2.73fc	Gi6/0/4        
0021.942b.5052	Gi4/0/1        
60fa.9dd1.ffd3	Gi6/0/4        
5006.abe4.bd35	100GE7/0/0     
a44c.1162.1b9a	100GE7/0/0     
501d.93f8.8c64	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
60de.f3f5.569a	100GE7/0/0     
f40f.1b57.48c0	Gi6/0/4        
0007.7d06.1580	Gi6/0/4        
d0d0.4bc9.56b3	100GE7/0/0     
0800.3e0e.01a8	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
00f8.2c0e.1885	Gi6/0/4        
b443.2673.128e	100GE7/0/0     
e00e.dac1.2e40	Gi6/0/4        
9835.ed32.d4dc	Gi6/0/4        
0045.1dbb.dfa5	100GE7/0/0     
0021.941a.223a	Gi4/0/5        
