807d.14e6.d0ca	Gi0/2/4        
5078.b398.3c0c	Gi0/2/4        
7c39.53f8.d82a	Gi0/2/4        
0021.940c.3e5e	Gi0/2/4        
9813.334c.c8e4	Gi0/2/4        
8c68.c892.0dcc	Gi0/2/4        
b4f5.8e12.1fee	Gi0/2/5        
807d.14d9.523e	Gi0/2/4        
0021.9424.6de2	Gi0/2/5        
0021.9415.3888	Gi0/2/4        
7c39.53fa.01b7	Gi0/2/4        
4482.e516.58f8	Gi0/2/4        
940b.19c4.2864	Gi0/2/5        
28ff.3e21.9188	Gi0/2/4        
5078.b399.62ec	Gi0/2/4        
0024.173d.6f64	Gi0/2/4        
b0ac.d267.246f	Gi0/2/4        
807d.14d9.7e38	Gi0/2/5        
b0ac.d21e.4fcb	Gi0/2/4        
0020.d23a.69ba	Gi0/2/4        
4482.e516.58dc	Gi0/2/4        
7c39.53f7.e277	Gi0/2/4        
78c1.a721.fd66	Gi0/2/4        
707b.e80f.556b	Gi0/2/4        
0021.9412.2c40	Gi0/2/6        
0021.9419.eba4	Gi0/2/5        
807d.14d9.8547	Gi0/2/6        
0024.1792.7afb	Gi0/2/6        
0021.942b.5562	Gi0/2/5        
5078.b397.fcec	Gi0/2/5        
0021.942b.675c	Gi0/2/5        
646d.6c6d.fca3	Gi0/2/5        
0021.9409.aca4	Gi0/2/5        
b4f5.8e12.0d8c	Gi0/2/6        
5078.b397.f22c	Gi0/2/6        
0024.1786.9a3e	Gi0/2/5        
0021.940a.0d34	Gi0/2/6        
b4f5.8e12.0d4b	Gi0/2/6        
0020.d237.6973	Gi0/2/4        
0024.17a8.dd1e	Gi0/2/5        
b443.2673.16c6	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
b4f5.8e12.0d7f	Gi0/2/6        
0021.9423.7008	Gi0/2/5        
d060.8c0d.131c	Gi0/2/5        
b0ac.d21d.5d97	Gi0/2/5        
60de.f3c7.668a	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
60de.f3f5.56fa	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
5078.b3b2.719c	Gi0/2/5        
8c68.c891.89cc	Gi0/2/5        
b0ac.d266.f49b	Gi0/2/5        
b0ac.d266.828b	Gi0/2/5        
60de.f3f5.569a	Gi0/2/4        
0021.9412.dd58	Gi0/2/5        
b0ac.d220.d699	Gi0/2/5        
f898.efe7.539c	Gi0/2/4        
0021.9422.e2e4	Gi0/2/5        
